calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
 Full HD,HP,"Portátil HP 255 G7, Procesador AMD Ryzen 5 3500U 2,1 GHz, Pantalla (15.6""), 1920 x 1080 Pixeles, RAM 8 GB, SSD 512 GB, DVD-RW, Windows 10 Home, Garantía 1 año (Español)"," 1,78 kg","543,83 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,Asus,"Portátil ASUS M415DA-EK274T - Pantala 14"" Full HD , Procesador AMD Ryzen5-3500U, 8GB RAM, 512GB SSD, AMD Radeon Vega 8, Windows 10 Home, Garantía 2 años (Español)"," 1,6 kg","534,15 €"," 35,6 cm (14"")", Windows 10 Home
 HD+,HP,"HP 17-by3006ns, Intel Core i3-1005G1, Pantalla 17.3"", 1600 x 900 Pixeles, RAM 8 GB, SSD 512 GB, Windows 10 Home, NUEVO, 2 Años de Garantía (Español)"," 2,38 kg","599,98 €"," 43,9 cm (17.3"")", Windows 10 Home
 HD,HP,"Portátil HP 15s-fq1138ns, Intel Core i3-1005G1 (1,2 GHz), Pantalla HD 15.6"" (1366 x 768 Pixeles), 8GB RAM, 512GB SSD, Wi-Fi, Bluetooth, Color gris, Windows 10 Home, 2 años de garantía - NUEVO DESPRECINTADO (Español) - -Km.0-"," 1,69 kg","532,94 €"," 39,6 cm (15.6"")", Windows 10 Home
 HD,Asus,"Portátil Asus Laptop M509DA-BR198T, AMD Ryzen 5 3500U, 8GB RAM, 512GB SSD, Pantalla 15.6"" HD (1366 x 768 Pixeles), Wi-Fi 5, Bluetooth, Windows 10 Home, 2 años de garantía (Español)"," 1,8 kg","532,94 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,"Portátil HP Laptop 14s-dq1010ns, Intel i3-1005G1 (1.2GHz), 14.0"" FHD LED, RAM 8GB, SSD 512GB PCIe NVME, Sin DVD, WIFI, Bluetooth, Webcam, Windows 10 Home, 2 años de garantía (Español) - -Km.0-"," 1,46 kg","526,89 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,HP,"HP Laptop 14s-dq1019ns, i3-1005G1 (1.2GHz), Pantalla 14.0"" FHD LED, 8GB RAM, SSD 256GB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam, Windows 10 Home, Garantía 2 años (Español) - -Km.0-"," 1,46 kg","508,74 €"," 35,6 cm (14"")", Windows 10 S
 Full HD,HP,"HP 255 G7, AMD Ryzen 3, 2,6 GHz, Pantalla (15.6""), 1920 x 1080 Pixeles, RAM 8 GB, 256 GB SSD Wi-Fi 5 (802.11ac) , grabadora de DVD, Windows 10 Pro , 1 Año de Garantía (Español)"," 1,78 kg","499,06 €"," 39,6 cm (15.6"")", Windows 10 Pro
 HD,HP,"Portátil HP Laptop 15s-fq1119n, i3-1005G1 (1.2GHz), Pantalla 15.6"" HD LED, 8GB RAM (2x4GB), SSD 256GB PCIe NVME, Sin unidad óptica, WIFI, Bluetooth, Webcam, Windows 10 Home S, Garantía 2 años (Español) - -Km.0-"," 1,69 kg","496,64 €"," 39,6 cm (15.6"")", Windows 10 Home S
 Full HD,Lenovo,"Portátil Lenovo IdeaPad 5 - Procesador AMD Ryzen 3 - Memoria RAM 8 GB- SSD 256 GB - Pantalla 14"" - Resolucion 1920 x 1080 Pixeles - Windows 10 Home - Garantía 1 año (Español) - -Km.0-"," 1,5 kg","496,64 €"," 35,6 cm (14"")", Windows 10 Home S
 HD,HP,"HP EliteBook 820 G2, Usado, Intel Core I5 5200U, 2,2 GHz, pantalla 12.5"", 1366 x 768 Pixeles, 8 GB RAM , 128 GB SSD, Windows 10 Pro, 1 Año de Garantía -- Teclado con pegatinas en Español -- (Español) - -Km.0-"," 1,34 kg","362,33 €"," 31,8 cm (12.5"")", Windows 10 Professional
 Full HD,HP,"HP EliteBook 820 G2, Intel i5-5300U (2,3 GHz), 31,8 cm (12.5""), 1920 x 1080 Pixeles, 8 GB, SSD 128 GB, Windows 10 pro - (Español) - -Km.0-"," 1,34 kg","362,33 €"," 31,8 cm (12.5"")", Windows 10 Professional
 Full HD,Asus,"Portátil ASUS TUF Gaming FX504GD-EN1354,,Intel i7-8750H, 8GB RAM, 256GB SSD, NVIDIA GeForce GTX 1050, 15.6"" FHD (1920x1080), FreeDOS, 1 año de garantía (Español) - -Km.0-"," 2,3 kg","623,69 €"," 39,6 cm (15.6"")", No
,Lenovo,"Portátil Lenovo V15 ADA - (Nuevo Precintado) - AMD 3020E, 4Gb de Memoria RAM, SSD 256Gb, AMD Radeon Graphics, FreeDos (Sin Windows), 1 Año de Garantía (Español)",,"357,49 €",,
 HD,HP,"Portátil HP 14s-dq1038ns, Intel Core i3-1005G1 (1,2 GHz), 14"" HD (1366 x 768 Pixeles), 8 GB RAM, 256 GB SSD, Wifi, Bluetooth, Windows 10 Home S, 2 años de garantía (Español)"," 1,46 kg","480,91 €"," 35,6 cm (14"")", Windows 10 Home S
 Full HD,HP,"Portátil HP Chromebook x360 14b-ca0001ns - Procesador Celeron N4020 - 4GB RAM - SSD 64GB - Pantalla 14.0"" táctil FHD LED - WIFI, Bluetooth, Webcam - CHROME OS (Sin Windows) - Garantía 1 año (Español) - -Km.0-"," 1,58 kg","339,34 €"," 35,6 cm (14"")", Chrome OS
 Full HD,HP,"Portátil HP 255 G7,,AMD A4-9125 (2.3GHz), 15.6"" FHD AG LED, 8GB RAM, SSD 256GB M2 SATA, WIFI, Bluetooth, FreeDOS, 1 año de garantía (Español) - -Km.0-"," 1,78 kg","321,19 €"," 39,6 cm (15.6"")", FreeDOS
 Full HD,HP,"HP 255 G8, Pantalla 15,6"" 1920 x 1080 Pixeles, AMD Ryzen 3 3250U, 8 GB DDR4-SDRAM, 256 GB SSD, Wi-Fi 6 (802.11ax), Windows 10 Home Plata (Español)"," 1,74 kg","499,06 €"," 39,6 cm (15.6"")", Windows 10 Home
 HD+,HP,"Portátil HP Chromebook x360 12b-ca0000ns, Intel Celeron N4000 (1.1GHz), 2GB RAM, SSD 64GB, Pantalla táctil 12.0"" HD+ , WIFI, Bluetooth, Webcam, CHROME OS (Sin Windows) (Español) - -Km.0-"," 1,35 kg","315,14 €"," 30,5 cm (12"")", Chrome OS
 HD+,HP,"HP Chromebook x360 12b-ca0001ns,Celeron N4020 (1.1GHz), 4GB RAM, SSD 64GB, Pantalla táctil 12.0"" HD+, WIFI, Bluetooth, Webcam, Chrome (Sin Windows), Garantía 1 año (Español) - -Km.0-"," 1,35 kg","303,04 €"," 30,5 cm (12"")", Chrome OS
,Asus,"Portátil Asus E210MA-GJ003R, NUEVO - Intel Celeron N4020, 4GB RAM, 64GB, Pantalla 11.6"" HD (1366x768), Windows 10 Pro, 1 año de garantía (Español)"," 1,2 kg","284,89 €",,
 HD,HP,"Portátil HP Stream 11-ak0004ns, Intel Celeron N4020 (1.1GHz), 4GB RAM, SSD 64GB, Pantalla 11.6"" HD, Sin unidad óptica, WIFI, Bluetooth, Webcam, Windows 10 Home S, Garantía 2 años (Español) - -Km.0-"," 1,05 kg","272,79 €"," 29,5 cm (11.6"")", Windows 10 Home S
 Full HD,HP,"Portátil HP ProBook 455 G7, AMD RYZEN5-4500U (2.375GHz), 15.6"" FHD AG LED, 8GB RAM, SSD 512GB PCIe NVMe, WIFI, Bluetooth, Webcam, Lector de huellas, Windows 10 Pro, 1 año de garantía (Español) - -Km.0-", 2 kg,"696,29 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,"Portátil HP ProBook 455 G7 - Procesador RYZEN7-4700U - Pantalla 15.6"" HD LED - 8GB RAM - SSD 256GB - WIFI, Bluetooth, Webcam, Lector de huellas - Freedos (Sin Windows) - Garantía 1 año (Español) - -Km.0-", 2 kg,"666,04 €"," 39,6 cm (15.6"")",
