modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
TUF Gaming FX504GD-EN1354,Asus,15.6,Full HD,NA,NA,2.3,623.69
V15 ADA,Lenovo,NA,NA,NA,NA,NA,357.49
14s-dq1038ns,HP,14.0,HD,NA,NA,1.46,480.91
Chromebook x360 14b-ca0001ns,HP,14.0,Full HD,NA,NA,1.58,339.34
255 G8,HP,15.6,Full HD,NA,NA,1.74,499.06
Chromebook x360 12b-ca0000ns,HP,12.0,HD+,NA,NA,1.35,315.14
Chromebook x360 12b-ca0001ns,HP,12.0,HD+,NA,NA,1.35,303.04
E210MA-GJ003R,Asus,NA,NA,NA,NA,1.2,284.89
Stream 11-ak0004ns,HP,11.6,HD,NA,NA,1.05,272.79
ProBook 455 G7,HP,15.6,Full HD,NA,NA,2.0,696.29
