modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
"ntalla (15.6"") 1920 x 1080 Pixeles",NA,NA,NA,NA,NA,1.74,591.12
Gaming GF63 10SCSR-835ES Thin,NA,NA,NA,NA,NA,1.86,1216.05
EliteBook 850 G7,NA,NA,NA,NA,NA,1.67,1349.1
Bravo 15 A4DDR-219XES,NA,NA,NA,NA,NA,1.96,812.1
Probook 450 G8,NA,NA,NA,NA,NA,NA,914.13
Alpha 15 A4DEK-006XES,NA,NA,NA,NA,NA,2.4,1013.52
340S G7,NA,NA,NA,NA,NA,1.47,715.13
ThinkPad E15,NA,NA,NA,NA,NA,1.7,949.4
ThinkBook 14,NA,NA,NA,NA,NA,1.4,914.87
EliteBook 840 G7 Ultraportátil,NA,NA,NA,NA,NA,1.33,1601.7
ProArt StudioBook Pro 17 W700G3T-AV093R,NA,NA,NA,NA,NA,2.39,3151.6
ThinkBook 14s Yoga Híbrido (2-en-1),NA,NA,NA,NA,NA,1.5,982.12
EliteBook 830 G7,NA,NA,NA,NA,NA,1.23,1526.85
ZBook 15v G5,NA,NA,NA,NA,NA,2.14,1187.65
ENVY Laptop 13-ba0000ns Notebook,NA,NA,NA,NA,NA,1.3,805.19
Spectre x360 Conv 15-eb0000ns,NA,NA,NA,NA,NA,2.45,1452.54
Pavilion Laptop 15-cs3001ns,NA,NA,NA,NA,NA,1.85,1016.94
Pavilion x360 14-dw1005ns,NA,NA,NA,NA,NA,1.61,599.49
Aspire 5 ,NA,NA,NA,NA,NA,1.9,599.49
Aspire 3 A315-34-C6U0,NA,NA,NA,NA,NA,1.9,599.49
Extensa 215-52,NA,NA,NA,NA,NA,NA,599.49
Extensa 15 EX215-52,NA,NA,NA,NA,NA,1.9,599.49
V V14,NA,NA,NA,NA,NA,1.6,593.44
Laptop 15s-fq1076ns,NA,NA,NA,NA,NA,1.69,593.44
ProBook 430 G7,NA,NA,NA,NA,NA,1.49,592.9
IdeaPad Flex 5,NA,NA,NA,NA,NA,1.5,581.34
ZenBook 13 UX333FA-A3070T,NA,NA,NA,NA,NA,NA,581.34
Yoga S730-13IWL,NA,NA,NA,NA,NA,1.1,580.13
Vostro 3501,NA,NA,NA,NA,NA,1.9,575.29
Laptop 15s-eq0031ns,NA,NA,NA,NA,NA,1.74,575.29
15s-fq1073ns,NA,NA,NA,NA,NA,1.69,575.29
ZenBook 14 UM431DA-AM011T,NA,NA,NA,NA,NA,1.39,568.03
"V V15 Pantalla 15.6""",NA,NA,NA,NA,NA,1.85,563.19
255 G7,NA,NA,NA,NA,NA,1.78,563.19
Laptop 14-dk0009ns,NA,NA,NA,NA,NA,1.47,557.14
250 G8,NA,NA,NA,NA,NA,1.74,552.3
V15-IIL,NA,NA,NA,NA,NA,1.78,506.32
V V15,NA,NA,NA,NA,NA,1.85,363.54
Laptop 15s-fq1000ns,NA,NA,NA,NA,NA,1.69,538.99
ProBook 640 G4,NA,NA,NA,NA,NA,1.73,749.53
15s-fq1137ns,NA,NA,NA,NA,NA,1.69,505.11
IdeaPad 3 15ADA05,NA,NA,NA,NA,NA,1.85,333.29
M415DA-EK274T,NA,NA,NA,NA,NA,1.6,534.15
17-by3006ns,NA,NA,NA,NA,NA,2.38,599.98
15s-fq1138ns,NA,NA,NA,NA,NA,1.69,532.94
Laptop M509DA-BR198T,NA,NA,NA,NA,NA,1.8,532.94
Laptop 14s-dq1010ns,NA,NA,NA,NA,NA,1.46,526.89
Laptop 14s-dq1019ns,NA,NA,NA,NA,NA,1.46,508.74
Laptop 15s-fq1119n,NA,NA,NA,NA,NA,1.69,496.64
IdeaPad 5,NA,NA,NA,NA,NA,1.5,496.64
TUF Gaming FX504GD-EN1354,NA,NA,NA,NA,NA,2.3,623.69
V15 ADA,NA,NA,NA,NA,NA,NA,357.49
14s-dq1038ns,NA,NA,NA,NA,NA,1.46,480.91
Chromebook x360 14b-ca0001ns,NA,NA,NA,NA,NA,1.58,339.34
255 G8,NA,NA,NA,NA,NA,1.74,499.06
Chromebook x360 12b-ca0000ns,NA,NA,NA,NA,NA,1.35,315.14
Chromebook x360 12b-ca0001ns,NA,NA,NA,NA,NA,1.35,303.04
E210MA-GJ003R,NA,NA,NA,NA,NA,1.2,284.89
Stream 11-ak0004ns,NA,NA,NA,NA,NA,1.05,272.79
ProBook 455 G7,NA,NA,NA,NA,NA,2.0,696.29
